timestamp,time_passed,is_keyboard,event,operator,task_id,repetition
1465419903.31533,0.1762137413,True,1,K,2,3
1465419903.37749,0.0621526241,True,KeyReleased: 49,K,2,3
1465419903.56688,0.1893923283,True,1,K,2,3
1465419903.62451,0.057623148,True,KeyReleased: 49,K,2,3
1465419903.81722,0.1927073002,True,1,K,2,3
1465419903.87589,0.0586614609,True,KeyReleased: 49,K,2,3
1465419904.05514,0.1792526245,True,1,K,2,3
1465419904.11301,0.0578632355,True,KeyReleased: 49,K,2,3
1465419904.29383,0.1808269024,True,1,K,2,3
1465419904.3563,0.0624654293,True,KeyReleased: 49,K,2,3
1465419904.53609,0.1797950268,True,1,K,2,3
1465419904.59622,0.0601239204,True,KeyReleased: 49,K,2,3
1465419904.7781,0.1818683147,True,1,K,2,3
1465419904.81681,0.0387120247,True,KeyReleased: 49,K,2,3
1465419905.05727,0.2404630184,True,1,K,2,3
1465419905.10547,0.0481972694,True,KeyReleased: 49,K,2,3
1465419905.29353,0.1880507469,True,1,K,2,3
1465419905.34732,0.0537893772,True,KeyReleased: 49,K,2,3
1465419905.54945,0.2021167278,True,1,K,2,3
1465419905.60748,0.058028698,True,KeyReleased: 49,K,2,3
1465419905.80552,0.1980493069,True,1,K,2,3
1465419905.85906,0.0535395145,True,KeyReleased: 49,K,2,3
1465419906.05647,0.1974081993,True,1,K,2,3
1465419906.11453,0.0580546856,True,KeyReleased: 49,K,2,3
1465419906.30396,0.189428091,True,1,K,2,3
1465419906.35978,0.0558235645,True,KeyReleased: 49,K,2,3
1465419906.55851,0.1987307072,True,1,K,2,3
1465419906.61999,0.0614671707,True,KeyReleased: 49,K,2,3
1465419906.81906,0.1990730762,True,1,K,2,3
1465419906.89806,0.0789933205,True,KeyReleased: 49,K,2,3
1465419907.26659,0.3685274124,False,switched to mouse,H,2,3
1465419925.14034,0.000030756,True,switched to keyboard,H,2,4
1465419925.14041,0.000056982,True,1,K,2,4
1465419925.18401,0.0436058044,True,KeyReleased: 49,K,2,4
1465419925.34291,0.1589026451,True,1,K,2,4
1465419925.41602,0.0731034279,True,KeyReleased: 49,K,2,4
1465419925.58936,0.1733341217,True,1,K,2,4
1465419925.66528,0.0759203434,True,KeyReleased: 49,K,2,4
1465419925.82264,0.1573543549,True,1,K,2,4
1465419925.9011,0.0784652233,True,KeyReleased: 49,K,2,4
1465419926.07164,0.1705360413,True,1,K,2,4
1465419926.15419,0.082542181,True,KeyReleased: 49,K,2,4
1465419926.31863,0.1644356251,True,1,K,2,4
1465419926.40093,0.0823030472,True,KeyReleased: 49,K,2,4
1465419926.56314,0.1622071266,True,1,K,2,4
1465419926.6473,0.084151268,True,KeyReleased: 49,K,2,4
1465419926.81369,0.1663966179,True,1,K,2,4
1465419926.9004,0.0866980553,True,KeyReleased: 49,K,2,4
1465419927.06012,0.1597189903,True,1,K,2,4
1465419927.1484,0.0882747173,True,KeyReleased: 49,K,2,4
1465419927.30743,0.1590306759,True,1,K,2,4
1465419927.40237,0.0949425697,True,KeyReleased: 49,K,2,4
1465419927.5701,0.1677196026,True,1,K,2,4
1465419927.64971,0.079613924,True,KeyReleased: 49,K,2,4
1465419927.80997,0.1602594852,True,1,K,2,4
1465419927.90032,0.0903446674,True,KeyReleased: 49,K,2,4
1465419928.06344,0.1631140709,True,1,K,2,4
1465419928.13966,0.0762188435,True,KeyReleased: 49,K,2,4
1465419928.31401,0.1743433475,True,1,K,2,4
1465419928.38091,0.066896677,True,KeyReleased: 49,K,2,4
